Day;AnimalsCount;GrassCount;EmptyFields;MostPopularGene;AverageEnergy;AverageLifespan;AverageChildrenCount
1;15;15;73;[0, 3, 2, 5, 2, 6, 1, 2];9.27;0.0;0.0
2;14;19;67;[0, 3, 2, 5, 2, 6, 1, 2];8.19;0.0;0.13
3;16;20;66;[0, 3, 2, 5, 2, 6, 1, 2];8.13;0.0;0.13
4;15;24;63;[0, 3, 2, 5, 2, 6, 1, 2];7.44;0.0;0.13
5;12;27;63;[0, 3, 2, 5, 2, 6, 1, 2];6.17;0.0;0.33
6;15;27;62;[0, 3, 2, 5, 2, 6, 1, 2];6.44;5.0;0.39
7;16;28;59;[0, 3, 2, 5, 2, 6, 1, 2];6.28;5.0;0.39
8;16;29;59;[1, 3, 1, 4, 2, 5, 7, 1];6.94;5.0;0.31
9;14;27;63;[1, 3, 1, 4, 2, 5, 7, 1];8.57;6.2;0.21
10;13;28;63;[6, 7, 4, 4, 7, 1, 0, 7];8.64;6.2;0.21
11;11;31;59;[5, 7, 0, 0, 1, 3, 1, 1];9.0;6.83;0.23
12;8;33;61;[5, 7, 0, 0, 1, 3, 1, 1];10.55;7.75;0.18
13;9;33;62;[5, 7, 0, 0, 1, 3, 1, 1];11.09;7.75;0.18
14;9;34;60;[6, 7, 4, 4, 7, 1, 0, 7];9.92;7.75;0.46
15;11;36;55;[5, 7, 0, 0, 1, 3, 1, 1];9.85;7.75;0.46
16;10;37;55;[6, 7, 4, 4, 7, 1, 0, 7];9.43;7.78;0.64
